0,0,0,1,0,1,0,0
0,0,0.25882,0.96593,0,1,0,0
0,0,0.70711,0.70711,0,1,0,0
0,0,0.86603,0.5,0,1,60,1
0,0,0.96593,0.25882,0,1,60,4
1,0,1,6.1232e-17,0,1,60,0
0,0,0.96593,-0.25882,0,1,60,4
1,0,0.70711,-0.70711,0,1,0,0
0,0,0.5,-0.86603,0,1,0,0
0,0,0.25882,-0.96593,0,1,0,0
0,0,1.2246e-16,-1,0,1,0,0
0,0,-0.5,-0.86603,0,1,0,0
0,0,-0.70711,-0.70711,0,1,60,1
1,0,-0.86603,-0.5,0,1,60,0
1,0,-0.96593,-0.25882,0,1,60,0
0,0,-0.96593,0.25882,0,1,60,4
0,0,-0.70711,0.70711,0,1,60,4
0,0,0,1,0.017213,0.99985,0,0
1,0,0.25882,0.96593,0.017213,0.99985,0,0
1,0,0.5,0.86603,0.017213,0.99985,0,0
0,0,0.86603,0.5,0.017213,0.99985,0,0
1,0,0.96593,0.25882,0.017213,0.99985,60,1
1,0,0.96593,-0.25882,0.017213,0.99985,60,0
1,0,0.86603,-0.5,0.017213,0.99985,0,2
1,0,0.70711,-0.70711,0.017213,0.99985,0,0
1,0,0.5,-0.86603,0.017213,0.99985,0,0
0,0,1.2246e-16,-1,0.017213,0.99985,0,0
0,0,-0.25882,-0.96593,0.017213,0.99985,0,0
0,0,-0.5,-0.86603,0.017213,0.99985,0,0
0,0,-0.70711,-0.70711,0.017213,0.99985,0,0
0,0,-0.86603,-0.5,0.017213,0.99985,60,1
1,0,-0.96593,-0.25882,0.017213,0.99985,60,0
0,0,-1,-1.837e-16,0.017213,0.99985,60,4
0,0,-0.70711,0.70711,0.017213,0.99985,60,4
1,0,-0.5,0.86603,0.017213,0.99985,60,0
1,0,-0.25882,0.96593,0.017213,0.99985,0,2
0,0,0,1,0.034422,0.99941,0,0
1,0,0.25882,0.96593,0.034422,0.99941,0,0
0,0,0.5,0.86603,0.034422,0.99941,0,0
1,0,0.70711,0.70711,0.034422,0.99941,0,0
1,0,0.86603,0.5,0.034422,0.99941,0,0
1,0,0.96593,0.25882,0.034422,0.99941,0,0
1,0,1,6.1232e-17,0.034422,0.99941,60,1
1,0,0.96593,-0.25882,0.034422,0.99941,60,0
1,0,0.86603,-0.5,0.034422,0.99941,60,0
0,0,0.70711,-0.70711,0.034422,0.99941,0,2
1,0,0.5,-0.86603,0.034422,0.99941,0,0
1,0,1.2246e-16,-1,0.034422,0.99941,0,0
